"name","species","family","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10"
"A.gressitti.1.png","A.gressitti","Sarcophagidae",1,-0.0228871212508687,0.120811383097663,0.00836205013132506,0.0383328075747024,-0.0057396935377181,0.00945974369507697,-0.000845659660782691,0.00990143712049326,0.00102203848177899,8.32667268468867e-17,-0.0715830418028511,-0.0270108230242562,-0.0195175364338684,0.00253558876121481,-0.00770482203826251,-0.00611882701126273,-0.0133552923616743,-0.0034724185961935,-0.00290083549477652,-3.46944695195361e-18,0.0487240297299923,0.00384113229767329,-0.0210792105783977,-0.0122394356236256,0.00407319363262929,0.00873787686496798,-0.00076402124996971,-0.00544208388029231,-0.00589124302800293,-0.249609021029421,0.00301659819590221,0.019901714959537,0.0249906300153745,-0.0251722018677772,-0.00746827367134913,-0.00877252395060361,0.0104109905405465,-0.00234393724540376,0.000302484626050407
"A.gressitti.10.png","A.gressitti","Sarcophagidae",1,-0.017667696561095,0.111024072352056,-0.00928100643506061,0.0249890934695774,-0.0105987600119854,0.0123061653131928,-0.000860986032380273,0.00540965481303327,-0.00267018238728622,-2.08166817117217e-16,-0.0506490284230925,-0.00246727995956054,-0.00255141170228048,0.00922389385777399,-0.00388598724942702,0.00349401417689669,0.00304877869059467,0.0106368866770191,0.00292933629783557,-3.12250225675825e-17,0.0423724340740391,-0.0077633832656131,-0.0102206177237526,0.00859098334157435,0.0122589416961414,0.000678025395963874,-0.00531969395713308,0.000525641857552833,0.00464734664029709,-0.22552262105264,0.0292006116564121,0.0189720115254865,0.00649972302060426,-0.0251373327630943,0.00761509255222946,0.000142966775422457,0.00448999047405503,-0.00949921807991477,0.00136258040101653
"A.gressitti.11.png","A.gressitti","Sarcophagidae",1,-0.0183134337187583,0.115302603740568,0.00492364738499625,0.0378834610844141,-0.00461909583059426,0.0100198505143752,-0.00194597478286259,0.00894704634590437,0.000804109401028311,1.80411241501588e-16,-0.0622692968662051,-0.0232984973959263,-0.0218062147590182,5.692853966692e-05,-0.00862973455567383,-0.00497318775415627,-0.0130512052578799,-0.00404637451306651,-0.00457382808474968,4.5102810375397e-17,0.0588301553141716,0.0124390248396779,-0.0100198168393688,-0.0101667902181148,0.00404542900605037,0.00749399384521615,0.00275652980048558,-0.00452561706406278,-0.00659656759768708,-0.251193598280026,-0.0131588561300432,0.0116935087147664,0.0218493235405722,-0.0208943185939752,-0.00719916792980363,-0.0111281199425645,0.00718041066724024,-0.00193617565993824,0.000690134909727542
"A.gressitti.12.png","A.gressitti","Sarcophagidae",1,-0.0187524005294423,0.117267601463899,0.0035828906559789,0.0383717567512486,-0.00404114470146825,0.0122624873259607,-0.00180514295855131,0.00940839427173562,-9.86066400048421e-05,-2.08166817117217e-16,-0.0579180934578207,-0.018428550466772,-0.018347784296695,0.00134132568201969,-0.00834373163798473,-0.00396130242424433,-0.011637452378656,-0.0023998587892558,-0.00383784675757329,-4.85722573273506e-17,0.0500126600086958,0.0074115462136169,-0.0137938761798399,-0.00975298209151606,0.00387096613647773,0.00740977722443997,0.000528576414582938,-0.00466151871363041,-0.00595975032160794,-0.244883899004466,-0.0123667876387965,0.0166121543545259,0.0251208975036827,-0.0199941973289702,-0.00740082530629734,-0.0087855697441243,0.00825883789927353,-0.00163636372975415,2.69947372411234e-05
"A.gressitti.13.png","A.gressitti","Sarcophagidae",1,-0.0199775358020942,0.118011644003651,0.00570063622640913,0.0367999395769022,-0.0077458638313684,0.00825795039651724,-0.00188457895839292,0.00921885153384551,0.000656502795031633,2.77555756156289e-17,-0.0763034034086816,-0.0257154328774203,-0.0243624272153586,0.00312705871607397,-0.0103381835593159,-0.00498172415069786,-0.0145524907939285,-0.00196452521911263,-0.00405280196539168,1.04083408558608e-17,0.0613026749722999,0.00692801835650312,-0.0153538444971377,-0.0125315857063648,0.00354533350611588,0.00738867098615373,-0.000342858226009139,-0.0061696787983855,-0.00657337603354317,-0.265620608370302,-0.00841891082560752,0.016910370950402,0.0184493111134635,-0.0242215177755303,-0.00711766285571824,-0.00730785916386517,0.0106485998009271,-0.00123663782059265,-0.000203901410946682
"A.gressitti.2.png","A.gressitti","Sarcophagidae",1,-0.0206590513207204,0.113526833456875,0.00277865588900018,0.0362461702454996,-0.00620730071770506,0.00953352219024728,-0.00302292063719949,0.00796071309580506,-0.000482298998965454,0,-0.057693858497911,-0.024037660191416,-0.022532043843647,-0.000768807551377749,-0.00812563132681641,-0.00426883103931879,-0.0119045904052198,-0.00341523535993935,-0.00427195093241128,-1.04083408558608e-17,0.0659620514368436,0.014064915430006,-0.00664986099419033,-0.00937634554010337,0.00234468775019018,0.00726731271771746,0.00258004228834498,-0.00340336145555185,-0.00632416312304765,-0.250643764303593,-0.010163252977275,0.0103922156619507,0.0249641236799767,-0.0181164757127843,-0.00590434658406759,-0.0115739205147397,0.00784333398991594,-0.00114823457746329,0.00175913275538351
"A.gressitti.3.png","A.gressitti","Sarcophagidae",1,-0.0221577967461919,0.116292290113357,0.00540996819303412,0.0381005846014246,-0.00600323095095623,0.00877046623711814,-0.00292854720002194,0.00778946837725449,-2.21032686543686e-05,-8.32667268468867e-17,-0.0708213029985862,-0.025465137298484,-0.0248253609787229,0.000208400557787519,-0.0107288270830723,-0.00629883679791999,-0.0146543027768746,-0.00397417569739468,-0.00547472327557473,-3.46944695195361e-17,0.0620467500206883,0.0157593498987851,-0.010254193208127,-0.00949600422494252,0.00112131097513534,0.0079271608235139,0.00157746839832714,-0.00400443939206855,-0.00747241801148019,-0.27551703332076,-0.0104803563435749,0.0197068554182549,0.0260989500854466,-0.0203338458261614,-0.00797479157603685,-0.0104917347440776,0.00938795771460521,-0.000402206156768766,0.00105686170460164
"A.gressitti.4.png","A.gressitti","Sarcophagidae",1,-0.0143792081781156,0.120319233103817,0.00243425683478539,0.0358022877387101,-0.00499030336610678,0.0130463035732267,0.000372979634982502,0.0100792317431624,-0.000871859847638703,1.80411241501588e-16,-0.0611536879953428,-0.0171960572193513,-0.0154912656428975,0.000712312825577547,-0.00942561486774472,-0.00571031367534278,-0.0107663438973278,-0.000679802418386269,-0.00274405872040723,3.46944695195361e-17,0.0472860838957503,0.00742056476891795,-0.0164135506189968,-0.0051833760507809,0.00589140601202837,0.00649394130758036,-0.00328383495908341,-0.0054743714479302,-0.00390933148471191,-0.237628689891335,-0.00670268054775845,0.0149160806615652,0.0188474005568859,-0.0243076910909623,-0.00452959237789088,-0.00451183526539476,0.00920692548387098,-0.00379783501419652,-0.00155605033151467
"A.gressitti.5.png","A.gressitti","Sarcophagidae",1,-0.0203087437862274,0.12038562676003,0.00677925387917832,0.0386732363179864,-0.00577822694252799,0.0105113325798912,-0.00163234864154203,0.00993866481919037,0.000383092833892851,-1.38777878078145e-17,-0.0668604254773045,-0.0243550577055538,-0.0209714308102607,0.00113072049931176,-0.00853118204872281,-0.0052701778364671,-0.0132692144328553,-0.0030326376081723,-0.00431294288348085,-3.46944695195361e-18,0.0570369542886934,0.00583513779828262,-0.0162240746576187,-0.0123096976938808,0.00403220876031837,0.00698812825604589,0.00121654332577046,-0.0064293900065023,-0.00616595364839052,-0.254081445828162,-0.0061258762431075,0.0196900787623425,0.0241270637903893,-0.0219841135377668,-0.00968475748510104,-0.00917228085142629,0.00924885225574952,-0.00102367356624643,2.97885553656695e-05
"A.gressitti.6.png","A.gressitti","Sarcophagidae",1,-0.0167084557840852,0.118496262612273,0.00533870930701375,0.0359758160896926,-0.00720794613883141,0.0116632843440692,-0.00026239382408227,0.00965683399204314,-0.000889211135760667,1.2490009027033e-16,-0.065749514477432,-0.0212190217098824,-0.0183380509089927,0.00359816552579793,-0.00974660251951702,-0.00599985081935013,-0.0120791992125831,-0.00106838866681293,-0.00296739355486993,1.38777878078145e-17,0.0533592630567752,0.0035145051683217,-0.0147068533820482,-0.00688050715533098,0.0056650812364905,0.00858569932822502,-0.00205663680523596,-0.0053941521340407,-0.00493452893173562,-0.254494647865048,-0.0013107634394585,0.0155464452744213,0.0164753485664214,-0.0234268796249512,-0.00676482432284314,-0.00637600608549196,0.00927444323440584,-0.00416560438802121,-0.00144100553510321
